nAtom,nHeavyAtom,nH,nO,nBonds,nBondsO,nBondsS,nBondsKS,C2SP3,NsOH,nHBAcc,MPC2,ATS0se,ATS1se,ATS1pe,ATS1are,ATSC0p,ETA_eta_L,ZMIC0,PEOE_VSA1,SlogP_VSA2,VSA_EState9,bpol,MW,nRot,FilterItLogS,bioavailability
52,24,28,2,55,27,51,51,8,1,2,43,380.7117759999999,410.2279,339.1445,329.95,12.579456686664006,8.94105862167585,85.66307830901906,5.106527394840706,16.490823152189332,51.33333333333332,28.957795999999995,324.20893013600084,1,-3.9528259707494975,76.0
39,21,18,1,42,24,31,37,5,1,7,35,301.0611079999999,332.182808,279.4955,274.562,8.015090089664668,5.74023208377923,72.36903246689167,20.724083123800572,37.27428539913456,44.155147392290246,23.187726,286.1542091960005,4,-1.7656759655880598,83.0
54,30,24,4,57,33,36,47,1,0,5,46,416.0256559999999,443.19582,371.185,362.704,12.575884671468152,6.575519874583536,98.72037141023895,19.194567382347355,29.151026258872104,66.33333333333331,31.862967999999995,404.17360724800074,7,-6.8493948533761975,92.0
32,18,14,5,33,19,27,30,3,3,8,28,269.488264,278.19378800000004,234.637,232.341,5.811722195685875,4.457852648118099,62.33716454994604,31.523780092646536,55.69662121037,54.14916666666667,18.358898,258.0964195480001,3,1.8987968659280132,10.0
22,11,11,4,21,10,18,18,1,1,3,13,183.95803300000009,172.54013999999998,141.73409999999996,138.524,7.206386755396775,2.808479910707925,39.04544104439646,5.316788604006331,31.175336600030175,13.97675642479214,19.129277,181.040878832,4,-0.8319068547098891,11.0
87,44,43,18,90,47,89,89,16,13,19,70,727.9393760000003,752.0274919999999,628.0769999999999,620.4540000000001,16.699851233865616,14.24958214241893,167.3928842773564,95.38595950593576,202.6147933012457,133.49999999999997,52.38790100000006,645.2480135360013,9,6.399509727194466,2.0
52,24,28,4,52,24,44,47,4,1,5,31,397.65641599999987,402.32972000000007,333.5995,326.908,11.277847867587075,6.661237550883527,82.32245548888255,20.476967556653413,42.09439765787891,59.50000000000001,32.701795999999995,336.20490737600085,10,-4.3443305614559415,38.5
41,26,15,6,43,28,23,33,1,1,6,40,334.3586959999999,342.21023199999996,288.68519999999995,282.615,9.363109505149023,5.070677457961208,86.97205136745747,9.523678331894054,15.813083390023316,68.38214970710507,19.686105,353.0899372000004,5,-5.097168627989532,60.0
45,23,22,1,47,25,34,40,1,0,4,35,333.57484899999986,356.134232,295.90199999999993,288.0,13.456204491324305,5.663777691982316,76.70247041652273,9.799819461700956,37.86801145439495,45.55028798710843,28.818553999999995,326.14528432400056,5,-4.931316431824159,55.0
20,11,9,2,20,11,13,16,0,1,2,14,157.69537200000005,157.966268,132.0915,129.554,4.465610602202551,1.9739531692808272,36.87439173532016,10.423315998847038,11.013707124192214,30.500000000000004,10.466862999999998,151.063328528,1,-1.5864600110429774,80.5
19,13,6,3,19,13,11,14,0,0,6,19,168.82223800000003,164.462552,137.7487,134.7577,8.872200052748527,2.6718174328136297,48.79139500161462,5.316788604006331,24.52234033028252,25.28611772486773,17.143242,221.988132052,2,-0.8836993393282089,99.0
10,5,5,2,9,4,8,8,0,1,2,4,85.57842,77.118912,64.5701,64.374,1.5026497701225001,1.0628882674191436,17.828146997790387,0.0,11.114432754128797,19.166666666666664,5.314035,75.03202840000002,0,0.4388172498435315,55.0
31,14,17,4,30,13,28,28,2,0,4,18,245.68703200000007,236.41412400000002,196.248,192.95,6.090934199937483,3.459703167433294,49.36962356870144,19.1209583904072,50.21338017529077,41.133703703703695,23.674519,203.115758024,5,-2.037810874203785,10.0
19,10,9,3,18,9,16,16,1,1,3,11,157.16938900000005,146.504922,121.4985,119.272,6.818852541705789,2.88497012475163,35.0344173674081,10.423315998847038,28.777706848038807,30.15486111111111,13.794862999999998,163.030314148,3,-0.19589909687497106,7.5
123,57,66,14,130,64,127,127,22,4,14,100,954.584836,1016.624976,844.181,826.8,27.0462191085686,20.89564922785794,208.5318484673688,58.321013209763215,124.4823969962518,130.91666666666663,81.83566200000014,806.4452567920018,8,-2.840855397386856,70.0
27,16,11,3,28,17,17,24,0,1,7,23,225.29056000000003,234.59546,199.0175,196.96200000000002,4.885207430274963,3.395541654684031,54.98627626350385,15.577057825802939,37.83932653449952,42.628379629629634,17.629277,225.086189212,4,-1.125608751260304,20.0
17,11,6,3,17,11,10,13,0,1,3,15,146.0123,142.042932,120.6376,119.145,3.3415062767078823,1.83388111189828,37.9564158756744,10.313780419617997,16.059811203739766,36.0,9.465241999999998,154.037842052,1,-0.3248311780696944,95.0
50,24,26,3,50,24,39,42,0,1,2,32,373.086048,378.35782400000005,312.956,305.2,11.967985685795515,5.800530803602183,84.83122915815031,9.843390348640755,18.18563022407009,55.83333333333332,28.687382,326.1881946920007,6,-4.018833217860715,59.5
50,26,24,2,52,28,37,43,2,1,3,37,374.241192,395.44892799999997,329.45450000000005,321.3250000000001,11.78158115619552,6.292475549531377,86.56246181728856,5.106527394840706,40.59399015232796,57.50000000000002,27.794967999999994,348.18377800800073,6,-4.2348709870785095,18.0
30,18,12,4,31,19,20,26,0,2,7,27,251.68596500000007,257.313264,216.1488,212.688,11.591024903712794,3.9156513778344304,60.68858090585572,24.82445328425854,42.26071074970569,39.56913063023904,27.042484,273.0626904940003,5,-0.5020429121425164,12.0
66,34,32,8,67,35,54,60,0,0,13,51,529.948301,535.554032,446.6288,438.288,19.53340341035927,8.840151361894987,113.70008018390939,24.511355986353692,57.998382732304094,63.45498094087651,55.786624000000074,501.19884961400084,11,-3.5618309015889067,12.0
43,25,18,0,46,28,28,37,0,0,5,40,327.28596099999993,356.216858,299.8396,292.2499,10.324255127954652,5.053818619338092,83.60088281208427,4.899909730850478,39.47140196336899,43.37138011428852,24.267726,351.1250732560005,3,-5.536027418618747,39.0
33,18,15,2,34,19,23,29,1,0,4,25,257.315341,268.37687999999997,224.312,219.508,10.059014653006967,4.541972672604338,58.938252153021686,9.720841474747257,28.92384826085715,39.869668970983454,22.392105,265.08849772000025,4,-3.8945770313828016,5.0
100,50,50,2,110,60,92,98,8,2,4,98,735.21588,835.22928,696.5980000000001,679.35,23.776893249225004,15.066895631606073,169.58991109659917,28.978935966771612,95.82878218616379,92.7150054551927,58.140350000000076,666.3922796801813,6,-7.683782843944156,0.0
27,14,13,7,26,13,24,24,2,5,4,21,233.816194,216.99672400000003,177.2781,173.743,17.157432611500663,4.1809577410269485,54.24744850940466,30.413841283012797,36.30815783183069,33.92685657596372,29.887690999999997,249.01672501599998,5,2.048894016562746,0.8
73,29,44,2,75,31,72,72,12,2,2,45,525.90978,556.625612,456.8725,445.15,16.957885869744164,11.760983655562875,107.62369594893494,10.213054789681411,22.420987565178017,56.24999999999999,44.14110800000004,400.3341306480012,6,-5.188636508085961,71.0
62,30,32,3,64,32,51,58,3,0,8,44,474.60664799999984,499.319648,417.3903,409.7747,12.969451411339355,8.40193316045977,101.1848437544988,14.536682415501005,69.4873394977136,64.48084740654501,41.27462400000002,416.25358888400086,9,-3.339085955872111,1.0
55,28,27,4,57,30,45,51,4,0,8,41,429.0833759999999,451.63084800000007,378.1605,371.51200000000006,11.518309527815347,6.968611393021619,93.80230843728359,30.16095467341914,62.94276500056456,64.0,37.152589000000006,389.2063043440007,8,-4.410624779751244,52.0
92,39,53,6,92,39,84,87,6,1,7,53,693.009276,706.83538,583.6990000000001,571.9200000000002,19.590467413335677,12.442508875092006,134.89598622761824,36.10123981457155,63.044809487933456,91.08333333333334,59.543971000000106,551.3934364160015,19,-5.852233600962361,2.5
44,23,21,2,46,25,34,40,3,0,5,34,339.44761199999994,361.719404,303.5617,298.0828,9.309571338592434,5.861556047762552,77.36475579666217,10.053651557806381,59.00374576062214,51.66666666666667,26.521346999999995,315.1695249120006,6,-3.816435876647559,84.0
14,10,4,1,15,11,4,11,0,0,3,15,118.73469599999996,126.274372,108.6291,107.4829,2.4160455932828566,1.7300459278238596,34.615306676812175,4.9839785209472085,20.165320658496487,27.0,7.160827999999999,136.038510748,0,-1.7394295044080723,65.5
64,35,29,0,67,38,47,56,1,0,7,51,494.30032399999993,521.843664,439.226,430.30800000000005,14.458053309777107,7.648038407014588,117.28955856330757,15.533486938863136,59.120383729167564,54.80577917272256,39.29900300000002,477.2452503680009,10,-7.143929849504024,63.0
48,23,25,2,50,25,38,44,3,0,3,36,362.202561,385.238644,318.79959999999994,310.6498,13.632530753920314,6.244886429997917,76.51945945621941,9.883888251797686,56.33651441051496,27.169562183605965,35.72617500000001,335.1667480400007,6,-4.343767955831232,70.0
40,22,18,1,43,25,27,36,1,0,3,37,303.279384,332.58693999999997,279.385,273.254,8.9265907476051,4.925270243014762,73.21107808673194,14.450987899589038,31.88690255580033,44.51418493323256,24.055726,294.1480611960005,2,-4.282505281602454,55.0
35,22,13,0,38,25,20,29,0,0,4,36,268.410973,294.31652599999995,248.5336,241.7249,8.37503883790897,4.228568172855622,71.01909175252109,0.0,20.47614826716413,38.00303349220346,17.541690999999997,308.08287409600035,1,-5.433231285798682,86.5
41,18,23,2,41,18,34,37,3,1,3,22,304.53748,312.890096,258.4185,252.80400000000003,9.268963419402096,4.9622890657686485,62.8419064885811,15.160178952647087,30.403972982162465,39.5,25.379760999999995,249.172878976,8,-3.546433270932692,8.0
59,25,34,5,59,25,56,56,13,3,4,31,445.99667599999987,450.03983600000004,370.524,362.35,12.929130038672032,9.351348999436805,91.13707122390748,15.319582184522115,39.280065194335506,63.16666666666667,35.84503800000001,354.24062418800094,13,-3.2203171901367633,15.0
63,31,32,4,65,33,51,57,2,2,4,46,477.31388399999986,498.594052,414.422,405.029,14.472825250701707,8.187474268648025,105.54808430475192,20.429753124538227,53.16847516148554,73.75000000000001,36.118624,424.2362075040008,8,-4.771049482747202,6.0
