,Name,Updated SMILES,Biološka uporabnost (%),nAtom,nHeavyAtom,nH,nO,nBonds,nBondsO,nBondsS,nBondsKS,C2SP3,NsOH,nHBAcc,MPC2,ATS0se,ATS1se,ATS1pe,ATS1are,ATSC0p,ETA_eta_L,ZMIC0,PEOE_VSA1,SlogP_VSA2,VSA_EState9,bpol,MW,nRot,FilterItLogS,bioavailability
0,3-Ketodesogestrel,OC1(CCC2C3C(C4C(=CC(=O)CC4)CC3)C(CC12CC)=C)C#C,76.0,52,24,28,2,55,27,51,51,8,1,2,43,380.7117759999999,410.2279,339.1445,329.95,12.579456686664006,8.94105862167585,85.66307830901906,5.106527394840706,16.490823152189332,51.33333333333332,28.957795999999995,324.20893013600084,1,-3.9528259707494975,76.0
1,Abacavir,OCC1CC(n2c3nc(nc(NC4CC4)c3nc2)N)C=C1,83.0,39,21,18,1,42,24,31,37,5,1,7,35,301.0611079999999,332.182808,279.4955,274.562,8.015090089664668,5.74023208377923,72.36903246689167,20.724083123800565,37.27428539913456,44.155147392290246,23.187726,286.1542091960005,4,-1.7656759655880598,83.0
2,Abecarnil,O(Cc1ccccc1)C=1C=CC2=NC=3C(=C2C=1)C(COC)=C(NC=3)C(OC(C)C)=O,92.0,54,30,24,4,57,33,36,47,1,0,5,46,416.02565599999986,443.19582,371.185,362.704,12.575884671468152,6.575519874583536,98.72037141023895,19.194567382347355,29.151026258872104,66.33333333333331,31.862967999999995,404.1736072480008,7,-6.8493948533761975,92.0
3,Acadesine,NC(=O)c1ncn(C2OC(CO)C(O)C2O)c1N,10.0,32,18,14,5,33,19,27,30,3,3,8,28,269.488264,278.19378800000004,234.637,232.34099999999998,5.811722195685875,4.457852648118099,62.33716454994604,31.523780092646536,55.69662121037,54.14916666666667,18.358898,258.0964195480001,3,1.8987968659280128,10.0
4,Acamprosate,S(O)(=O)(=O)CCCNC(=O)C,11.0,22,11,11,4,21,10,18,18,1,1,3,13,183.95803300000009,172.54013999999995,141.73409999999996,138.524,7.206386755396775,2.808479910707925,39.04544104439646,5.316788604006331,31.175336600030175,13.97675642479214,19.129277,181.040878832,4,-0.8319068547098891,11.0
5,Acarbose,O1C(C)C(NC2C=C(CO)C(O)C(O)C2O)C(O)C(O)C1OC1C(O)C(O)C(OC1CO)OC1C(O)C(O)C(OC1CO)O,2.0,87,44,43,18,90,47,89,89,16,13,19,70,727.9393760000003,752.0274919999998,628.0769999999999,620.4540000000002,16.699851233865616,14.24958214241893,167.39288427735642,95.38595950593576,202.6147933012457,133.49999999999997,52.38790100000006,645.2480135360013,9,6.399509727194466,2.0
6,Acebutolol,O(CC(O)CNC(C)C)c1ccc(NC(=O)CCC)cc1C(=O)C,38.5,52,24,28,4,52,24,44,47,4,1,5,31,397.6564159999999,402.32972000000007,333.5995,326.908,11.277847867587075,6.661237550883527,82.32245548888255,20.476967556653413,42.09439765787891,59.50000000000001,32.701795999999995,336.20490737600085,10,-4.3443305614559415,38.5
7,Acenocoumarol,O1c2c(cccc2)C(O)=C(C(CC(=O)C)c2ccc([N+](=O)[O-])cc2)C1=O,60.0,41,26,15,6,43,28,23,33,1,1,6,40,334.3586959999999,342.210232,288.68519999999995,282.615,9.363109505149023,5.070677457961208,86.97205136745747,9.523678331894054,15.813083390023316,68.38214970710507,19.686104999999998,353.0899372000004,5,-5.097168627989532,60.0
8,Acepromazine,S1c2c(N(c3c1cccc3)CCCN(C)C)cc(cc2)C(=O)C,55.0,45,23,22,1,47,25,34,40,1,0,4,35,333.5748489999998,356.134232,295.90199999999993,288.0,13.456204491324305,5.663777691982317,76.70247041652273,9.799819461700956,37.86801145439495,45.55028798710843,28.818553999999995,326.14528432400056,5,-4.931316431824159,55.0
9,Acetaminophen,Oc1ccc(NC(=O)C)cc1,80.5,20,11,9,2,20,11,13,16,0,1,2,14,157.69537200000005,157.96626799999999,132.0915,129.554,4.465610602202551,1.9739531692808272,36.87439173532016,10.423315998847038,11.013707124192214,30.500000000000004,10.466862999999998,151.063328528,1,-1.5864600110429774,80.5
